0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
14, 11793, 4.7310, 4.0000, 0.0011, 0.0275, 7.0000, 0.3684, -619.7900, 1751.3791, 11.0000, 21.3750, 0.0003, 0.4463, 87.4589, 0.7503, 0.1672, 37.0000, 0.0550, 9.9643, 1.5673, 7.2281, 3.1000, 52.5499, 7.8200, 11.2398, 14.6319, 114.3394, 6.0000, 0.0550, 0.6328
15, 12741, 4.8411, 4.0000, 0.0003, 0.0219, 8.8000, 0.4019, -776.7100, 3076.2790, 14.5000, 26.7500, 0.0002, 0.6579, 116.9591, 0.8009, 0.1567, 25.0000, 0.0251, 9.0777, 1.7477, 6.8131, 8.8000, 31.8314, 9.9500, 15.4649, 19.6720, 85.5000, 8.0000, 0.0204, 0.7456
16, 13382, 4.8503, 4.0000, 0.0007, 0.0302, 7.6000, 0.3741, -607.9900, 2169.7533, 8.0000, 21.0000, 0.0002, 0.5390, 92.7644, 0.7259, 0.1638, 30.0000, 0.0674, 9.6038, 1.5306, 7.7279, 5.3000, 56.0302, 8.8800, 10.6612, 14.3864, 107.8000, 6.0000, 0.0801, 0.6818
17, 14246, 4.7364, 4.0000, 0.0007, 0.0203, 7.3000, 0.3953, -941.3500, 2483.9041, 14.0000, 32.2500, 0.0002, 0.5926, 83.4019, 0.7900, 0.1653, 29.0000, 0.0474, 9.2935, 1.5039, 7.5736, 8.8000, 46.8733, 9.2100, 14.7332, 17.5512, 119.9013, 6.0000, 0.0244, 0.7259
18, 14987, 4.3679, 4.0000, 0.0010, 0.0286, 9.6000, 0.3396, -768.2700, 1761.7437, 13.5000, 26.5000, 0.0003, 0.5091, 148.7603, 0.7667, 0.1524, 10.0000, 0.0698, 9.4616, 1.6132, 8.1981, 7.2000, 43.4601, 9.2600, 13.7808, 16.6377, 67.2222, 6.0000, 0.0524, 0.6636
19, 15620, 5.0190, 4.0000, 0.0009, 0.0180, 9.1000, 0.3839, -765.2400, 1592.8149, 11.0000, 26.3750, 0.0002, 0.4384, 114.2595, 0.8058, 0.1558, 42.0000, 0.0274, 10.1544, 1.6635, 7.4976, 5.1000, 39.3317, 9.3400, 14.3256, 16.8059, 87.5201, 15.0000, 0.0204, 0.6164
20, 16900, 4.6634, 4.0000, 0.0009, 0.0348, 8.4000, 0.3267, -583.2700, 2698.0705, 9.0000, 20.2000, 0.0003, 0.6038, 128.1595, 0.7822, 0.1585, 21.0000, 0.0627, 9.1082, 1.4554, 8.2178, 5.7000, 63.2013, 9.1100, 9.4623, 12.4364, 78.0278, 4.0000, 0.0244, 0.7264
21, 17477, 4.7029, 4.0000, 0.0003, 0.0318, 8.5000, 0.3623, -727.9200, 2369.6825, 8.5000, 25.0909, 0.0001, 0.4564, 131.8457, 0.7705, 0.1589, 52.0000, 0.0591, 10.5027, 1.4928, 7.5507, 5.6000, 55.0808, 8.4000, 11.8099, 14.5291, 75.8462, 14.0000, 0.0388, 0.5749
22, 19053, 4.7364, 4.0000, 0.0011, 0.0149, 6.7000, 0.3953, -751.2200, 1921.8349, 15.0000, 25.8000, 0.0002, 0.5299, 103.5865, 0.8038, 0.1691, 34.0000, 0.0311, 9.4902, 1.6124, 6.9845, 5.7000, 44.2387, 8.6900, 13.4984, 17.4518, 96.5376, 10.0000, 0.0122, 0.6866
23, 19795, 4.8333, 5.0000, 0.0010, 0.0225, 9.7000, 0.4103, -560.9100, 2744.7266, 10.5000, 19.5000, 0.0003, 0.6585, 86.2582, 0.8221, 0.1513, 14.0000, 0.0286, 8.6281, 1.6282, 7.4744, 7.2000, 49.2963, 9.6100, 11.2278, 15.4923, 115.9310, 5.0000, 0.0041, 0.7805
24, 20287, 4.7961, 4.0000, 0.0009, 0.0244, 8.8000, 0.3883, -594.5900, 1645.3288, 11.0000, 20.6000, 0.0005, 0.5185, 97.7366, 0.7883, 0.1564, 17.0000, 0.0651, 9.3301, 1.5049, 8.0680, 5.7000, 58.6153, 8.7500, 10.2013, 14.0652, 102.3158, 7.0000, 0.0309, 0.6852
25, 20904, 5.1013, 4.0000, 0.0010, 0.0293, 8.1000, 0.3165, -570.3100, 1704.4070, 7.0000, 19.7500, 0.0003, 0.4458, 103.0629, 0.7655, 0.1607, 32.0000, 0.0793, 9.9706, 1.4557, 8.4051, 5.1000, 63.6369, 7.4700, 9.2897, 11.6975, 97.0282, 6.0000, 0.0445, 0.6265
26, 21828, 4.4434, 4.0000, 0.0009, 0.0280, 7.1000, 0.3160, -614.5300, 1714.1076, 9.0000, 21.2000, 0.0002, 0.3604, 133.1061, 0.7551, 0.1669, 38.0000, 0.0771, 10.7482, 1.5472, 8.1792, 7.6000, 54.4264, 7.8900, 10.9346, 12.8196, 75.1280, 12.0000, 0.0500, 0.5360
27, 23011, 4.6500, 5.0000, 0.0004, 0.0161, 9.6000, 0.3917, -694.3200, 2573.2768, 12.5000, 24.0000, 0.0002, 0.6160, 98.5600, 0.8284, 0.1528, 36.0000, 0.0335, 9.2303, 1.7250, 7.0917, 3.1000, 36.5400, 10.2600, 14.1250, 17.6000, 101.4610, 14.0000, 0.0027, 0.7280
28, 23760, 4.2537, 4.0000, 0.0014, 0.0265, 7.2000, 0.3582, -482.6000, 2060.2994, 7.0000, 16.7500, 0.0005, 0.6056, 150.7637, 0.7321, 0.1645, 14.0000, 0.0424, 8.6744, 1.4030, 8.3881, 8.8000, 71.1412, 7.8000, 7.4977, 7.8940, 66.3289, 2.0000, 0.0769, 0.7324
29, 24140, 4.8254, 4.0000, 0.0005, 0.0252, 8.8000, 0.3704, -684.1900, 2499.9101, 12.0000, 23.6250, 0.0002, 0.5178, 102.0382, 0.7898, 0.1572, 31.0000, 0.0323, 9.9074, 1.5661, 7.5661, 7.2000, 50.3604, 8.7400, 12.1042, 15.5876, 98.0025, 10.0000, 0.0279, 0.6497
30, 25256, 5.2439, 5.0000, 0.0007, 0.0273, 14.0000, 0.2622, -671.9800, 2177.2507, 12.0000, 23.4286, 0.0002, 0.5588, 107.2664, 0.8371, 0.1338, 31.0000, 0.0255, 9.5899, 1.8232, 8.4451, 3.1000, 28.8148, 10.9300, 15.0606, 19.1275, 93.2258, 13.0000, 0.0018, 0.6941
